#Coverage (X)	Coverage
1.0	99.98792926549581
2.0	99.97585853099162
3.0	99.96378779648741
4.0	99.95171706198322
5.0	99.93964632747902
6.0	99.92757559297483
7.0	99.91550485847064
8.0	99.90343412396645
9.0	99.89136338946224
10.0	99.87929265495805
11.0	99.86722192045386
12.0	99.85515118594967
13.0	99.84308045144547
14.0	99.83100971694128
15.0	99.81893898243707
16.0	99.80686824793288
17.0	99.79479751342869
18.0	99.7827267789245
19.0	99.7706560444203
20.0	99.75858530991611
21.0	99.74651457541191
22.0	99.73444384090772
23.0	99.72237310640352
24.0	99.71030237189933
25.0	99.69823163739514
26.0	99.68616090289095
27.0	99.67409016838674
28.0	99.66201943388255
29.0	99.64994869937836
30.0	99.58355965960529
31.0	99.50509988532802
32.0	99.44474621280705
33.0	99.37232180578188
34.0	99.3119681332609
35.0	99.26368519524414
36.0	99.23350835898364
37.0	99.19126078821897
38.0	99.14297785020219
39.0	99.0946949121854
40.0	99.05244734142073
41.0	99.01623513790814
42.0	98.97398756714347
43.0	98.94984609813507
44.0	98.92570462912668
45.0	98.8894924256141
46.0	98.85328022210152
47.0	98.78085581507635
48.0	98.73257287705957
49.0	98.67825457179069
50.0	98.29199106765647
51.0	97.68241897519464
