#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	8.713331397037468E-4
26.0	5.808887598024978E-4
27.0	0.0014522218995062447
28.0	0.0023235550392099913
29.0	0.0023235550392099913
30.0	0.004356665698518733
31.0	0.002904443799012489
32.0	0.00813244263723497
33.0	0.010455997676444962
34.0	0.014812663374963692
35.0	0.014812663374963696
36.0	0.02149288411269242
37.0	0.028753993610223648
38.0	0.03049665988963114
39.0	0.03775776938716236
40.0	0.042114435085681086
41.0	0.048213767063607325
42.0	0.06128376415916351
43.0	0.07173976183560848
44.0	0.06912576241649725
45.0	0.067673540516991
46.0	0.067673540516991
47.0	0.06622131861748476
48.0	0.05750798722044728
49.0	0.0534417659018298
50.0	0.058960209119953526
51.0	0.04153354632587859
52.0	0.026720882950914904
53.0	0.020621550972988675
54.0	0.02207377287249492
55.0	0.01597444089456869
56.0	0.009294220156839963
57.0	0.007261109497531223
58.0	0.005227998838222481
59.0	0.002904443799012489
60.0	0.0011617775196049957
61.0	0.0017426662794074936
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
