#Mapping quality	mapping quality
1.0	29.0
2.0	25.0
3.0	21.0
4.0	67.0
5.0	127.0
6.0	218.0
7.0	211.0
8.0	153.0
9.0	164.0
10.0	117.0
11.0	131.0
12.0	160.0
13.0	232.0
14.0	173.0
15.0	149.0
16.0	194.0
17.0	242.0
18.0	153.0
19.0	253.0
20.0	182.0
21.0	192.0
22.0	127.0
23.0	173.0
24.0	170.0
25.0	197.0
26.0	139.0
27.0	123.0
28.0	190.0
29.0	112.0
30.0	121.0
31.0	114.0
32.0	171.0
33.0	131.0
34.0	148.0
35.0	118.0
36.0	160.0
37.0	120.0
38.0	101.0
39.0	80.0
40.0	85.0
41.0	113.0
42.0	115.0
43.0	172.0
44.0	136.0
45.0	127.0
46.0	180.0
47.0	179.0
48.0	157.0
49.0	202.0
50.0	221.0
51.0	247.0
52.0	274.0
53.0	185.0
54.0	360.0
55.0	411.0
56.0	233.0
57.0	241.0
58.0	583.0
59.0	779.0
60.0	5880.0
