#Mapping quality	mapping quality
0.0	63.0
1.0	41.0
2.0	31.0
3.0	28.0
4.0	31.0
5.0	113.0
6.0	212.0
7.0	206.0
8.0	149.0
9.0	163.0
10.0	116.0
11.0	132.0
12.0	159.0
13.0	231.0
14.0	171.0
15.0	148.0
16.0	194.0
17.0	240.0
18.0	152.0
19.0	251.0
20.0	179.0
21.0	192.0
22.0	108.0
23.0	134.0
24.0	146.0
25.0	185.0
26.0	131.0
27.0	113.0
28.0	181.0
29.0	103.0
30.0	112.0
31.0	106.0
32.0	163.0
33.0	124.0
34.0	134.0
35.0	101.0
36.0	171.0
37.0	201.0
38.0	112.0
39.0	84.0
40.0	86.0
41.0	117.0
42.0	117.0
43.0	173.0
44.0	166.0
45.0	138.0
46.0	144.0
47.0	183.0
48.0	160.0
49.0	206.0
50.0	226.0
51.0	250.0
52.0	282.0
53.0	207.0
54.0	371.0
55.0	413.0
56.0	235.0
57.0	241.0
58.0	583.0
59.0	779.0
60.0	5880.0
