#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0010758472296933835
26.0	0.0010758472296933835
27.0	0.0
28.0	0.0026896180742334587
29.0	0.003765465303926842
30.0	0.003765465303926842
31.0	0.004841312533620226
32.0	0.009682625067240451
33.0	0.009682625067240451
34.0	0.011296395911780527
35.0	0.017213555675094135
36.0	0.023668639053254437
37.0	0.026896180742334585
38.0	0.03442711135018827
39.0	0.03604088219472835
40.0	0.0457235072619688
41.0	0.040344271113501876
42.0	0.06078536847767617
43.0	0.07154384077461
44.0	0.06831629908552984
45.0	0.06939214631522324
46.0	0.064550833781603
47.0	0.064550833781603
48.0	0.06132329209252285
49.0	0.05433028509951587
50.0	0.04948897256589563
51.0	0.04357181280258203
52.0	0.028509951586874662
53.0	0.023668639053254434
54.0	0.024206562668101124
55.0	0.015599784830554062
56.0	0.007530930607853685
57.0	0.008606777837547068
58.0	0.004841312533620226
59.0	0.004303388918773534
60.0	5.379236148466917E-4
61.0	0.001613770844540075
62.0	5.379236148466917E-4
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
