#Coverage	Number of genomic locations
0.0	1.0
1.0	2.0
2.0	2.0
3.0	2.0
4.0	2.0
5.0	2.0
6.0	2.0
7.0	2.0
8.0	2.0
9.0	2.0
10.0	2.0
11.0	2.0
12.0	2.0
13.0	2.0
14.0	2.0
15.0	2.0
16.0	2.0
17.0	2.0
18.0	2.0
19.0	2.0
20.0	2.0
21.0	2.0
22.0	2.0
23.0	2.0
24.0	2.0
25.0	2.0
26.0	2.0
27.0	2.0
28.0	2.0
29.0	12.0
30.0	11.0
31.0	7.0
32.0	5.0
33.0	5.0
34.0	6.0
35.0	4.0
36.0	6.0
37.0	7.0
38.0	4.0
39.0	4.0
40.0	6.0
41.0	7.0
42.0	5.0
43.0	4.0
44.0	4.0
45.0	6.0
46.0	6.0
47.0	4.0
48.0	4.0
49.0	4.0
50.0	4.0
51.0	4.0
52.0	4.0
53.0	4.0
54.0	4.0
55.0	4.0
56.0	4.0
57.0	4.0
58.0	4.0
59.0	4.0
60.0	4.0
61.0	4.0
62.0	4.0
63.0	4.0
64.0	4.0
65.0	4.0
66.0	4.0
67.0	4.0
68.0	4.0
69.0	4.0
70.0	4.0
71.0	4.0
72.0	4.0
73.0	4.0
74.0	4.0
75.0	4.0
76.0	4.0
77.0	4.0
78.0	4.0
79.0	4.0
80.0	4.0
81.0	4.0
82.0	4.0
83.0	4.0
84.0	4.0
85.0	4.0
86.0	28.0
87.0	9.0
88.0	7.0
89.0	7.0
90.0	7.0
91.0	8.0
92.0	9.0
93.0	8.0
94.0	7.0
95.0	9.0
96.0	7.0
97.0	8.0
98.0	8.0
99.0	7.0
100.0	10.0
101.0	9.0
102.0	61.0
103.0	11.0
104.0	16.0
105.0	76.0
106.0	17.0
107.0	12.0
108.0	57.0
109.0	22.0
110.0	20.0
111.0	22.0
112.0	19.0
113.0	21.0
114.0	51.0
115.0	20.0
116.0	20.0
117.0	21.0
118.0	17.0
119.0	21.0
120.0	111.0
121.0	117.0
122.0	30.0
123.0	26.0
124.0	131.0
125.0	33.0
126.0	33.0
127.0	29.0
128.0	29.0
129.0	35.0
130.0	34.0
131.0	31.0
132.0	264.0
133.0	43.0
134.0	35.0
135.0	45.0
136.0	45.0
137.0	37.0
138.0	37.0
139.0	47.0
140.0	38.0
141.0	175.0
142.0	45.0
143.0	48.0
144.0	84.0
145.0	46.0
146.0	44.0
147.0	48.0
148.0	42.0
149.0	45.0
150.0	13788.0
