#Coverage (X)	Coverage
1.0	99.98792926549581
2.0	99.97585853099162
3.0	99.96378779648741
4.0	99.95171706198322
5.0	99.93964632747902
6.0	99.92757559297483
7.0	99.91550485847064
8.0	99.90343412396645
9.0	99.89136338946224
10.0	99.87929265495805
11.0	99.86722192045386
12.0	99.85515118594967
13.0	99.84308045144547
14.0	99.83100971694128
15.0	99.81893898243707
16.0	99.80686824793288
17.0	99.79479751342869
18.0	99.7827267789245
19.0	99.7706560444203
20.0	99.75858530991611
21.0	99.74651457541191
22.0	99.73444384090772
23.0	99.72237310640352
24.0	99.71030237189933
25.0	99.69823163739514
26.0	99.68616090289095
27.0	99.67409016838674
28.0	99.66201943388255
29.0	99.64994869937836
30.0	99.63787796487416
31.0	99.62580723036997
32.0	99.61373649586578
33.0	99.60166576136157
34.0	99.58959502685738
35.0	99.57752429235319
36.0	99.565453557849
37.0	99.51113525258012
38.0	99.41456937654657
39.0	99.37232180578188
40.0	99.318003500513
41.0	99.26368519524414
42.0	99.21540225722735
43.0	99.16711931921057
44.0	99.1067656466896
45.0	99.08262417768121
46.0	99.01019977065604
47.0	98.8774216911099
48.0	98.79896191683264
49.0	98.73257287705957
50.0	98.35838010742954
51.0	97.73673728046352
