#Coverage	Number of genomic locations
0.0	2.0
1.0	2.0
2.0	2.0
3.0	2.0
4.0	2.0
5.0	2.0
6.0	2.0
7.0	2.0
8.0	2.0
9.0	2.0
10.0	2.0
11.0	2.0
12.0	2.0
13.0	2.0
14.0	2.0
15.0	2.0
16.0	2.0
17.0	2.0
18.0	2.0
19.0	2.0
20.0	2.0
21.0	2.0
22.0	2.0
23.0	2.0
24.0	2.0
25.0	2.0
26.0	2.0
27.0	2.0
28.0	2.0
29.0	2.0
30.0	2.0
31.0	2.0
32.0	2.0
33.0	2.0
34.0	2.0
35.0	2.0
36.0	9.0
37.0	16.0
38.0	7.0
39.0	9.0
40.0	9.0
41.0	8.0
42.0	8.0
43.0	10.0
44.0	4.0
45.0	13.0
46.0	21.0
47.0	13.0
48.0	11.0
49.0	62.0
50.0	103.0
51.0	64.0
52.0	34.0
53.0	33.0
54.0	37.0
55.0	43.0
56.0	42.0
57.0	36.0
58.0	38.0
59.0	51.0
60.0	41.0
61.0	42.0
62.0	40.0
63.0	45.0
64.0	44.0
65.0	39.0
66.0	68.0
67.0	42.0
68.0	47.0
69.0	41.0
70.0	51.0
71.0	48.0
72.0	92.0
73.0	49.0
74.0	103.0
75.0	52.0
76.0	51.0
77.0	55.0
78.0	115.0
79.0	53.0
80.0	59.0
81.0	120.0
82.0	63.0
83.0	135.0
84.0	145.0
85.0	68.0
86.0	73.0
87.0	66.0
88.0	76.0
89.0	70.0
90.0	157.0
91.0	77.0
92.0	163.0
93.0	168.0
94.0	81.0
95.0	80.0
96.0	272.0
97.0	193.0
98.0	193.0
99.0	12439.0
