#Position (bp)	Coverage
21.5	21.5
63.5	63.5
105.5	96.5
147.5	99.0
189.5	100.07142857142857
231.5	129.5
273.5	171.5
315.5	197.64285714285714
357.5	198.0
399.5	198.0
441.5	198.0
483.5	198.0
525.5	198.0
567.5	198.0
609.5	198.0
651.5	198.0
693.5	198.0
735.5	198.0
777.5	198.0
819.5	198.0
861.5	198.0
903.5	198.0
945.5	198.0
987.5	198.0
1029.5	198.0
1071.5	198.0
1113.5	198.0
1155.5	198.0
1197.5	198.0
1239.5	198.0
1281.5	198.0
1323.5	198.0
1365.5	198.0
1407.5	198.0
1449.5	198.0
1491.5	198.0
1533.5	198.0
1575.5	198.0
1617.5	198.0
1659.5	198.0
1701.5	198.0
1743.5	198.0
1785.5	198.0
1827.5	198.0
1869.5	198.0
1911.5	198.0
1953.5	198.0
1995.5	198.0
2037.5	198.0
2079.5	198.0
2121.5	198.0
2163.5	198.0
2205.5	198.0
2247.5	198.0
2289.5	198.0
2331.5	198.0
2373.5	198.0
2415.5	198.0
2457.5	198.0
2499.5	198.0
2541.5	198.0
2583.5	198.0
2625.5	198.0
2667.5	198.0
2709.5	198.0
2751.5	198.0
2793.5	198.0
2835.5	198.0
2877.5	198.0
2919.5	198.0
2961.5	198.0
3003.5	198.0
3045.5	198.0
3087.5	197.95238095238096
3129.5	198.0
3171.5	198.0
3213.5	198.0
3255.5	198.0
3297.5	198.0
3339.5	198.0
3381.5	198.0
3423.5	198.0
3465.5	198.0
3507.5	198.0
3549.5	198.0
3591.5	198.0
3633.5	198.0
3675.5	198.0
3717.5	198.0
3759.5	198.0
3801.5	198.0
3843.5	198.0
3885.5	198.0
3927.5	190.71428571428572
3969.5	180.0
4011.5	182.38095238095238
4053.5	196.47619047619048
4095.5	197.97619047619048
4137.5	176.92857142857142
4179.5	161.0
4221.5	170.02380952380952
4263.5	196.85714285714286
4305.5	197.14285714285714
4347.5	170.07142857142858
4389.5	159.0
4431.5	174.0
4473.5	197.85714285714286
4515.5	196.07142857142858
4557.5	180.88095238095238
4599.5	178.04761904761904
4641.5	189.85714285714286
4683.5	198.0
4725.5	198.0
4767.5	198.0
4809.5	198.0
4851.5	198.0
4893.5	198.0
4935.5	198.0
4977.5	198.0
5019.5	198.0
5061.5	198.0
5103.5	198.0
5145.5	198.0
5187.5	198.0
5229.5	198.0
5271.5	198.0
5313.5	198.0
5355.5	198.0
5397.5	198.0
5439.5	198.0
5481.5	198.0
5523.5	198.0
5565.5	198.0
5607.5	198.0
5649.5	192.28571428571428
5691.5	172.0
5733.5	159.0
5775.5	175.5
5817.5	194.57142857142858
5859.5	178.47619047619048
5901.5	136.5
5943.5	123.73809523809524
5985.5	162.5
6027.5	195.11904761904762
6069.5	183.5
6111.5	163.0952380952381
6153.5	164.28571428571428
6195.5	185.0
6237.5	197.85714285714286
6279.5	198.0
6321.5	198.0
6363.5	198.0
6405.5	198.0
6447.5	198.0
6489.5	198.0
6531.5	198.0
6573.5	198.0
6615.5	198.0
6657.5	198.0
6699.5	198.0
6741.5	194.28571428571428
6783.5	175.0
6825.5	155.3095238095238
6867.5	164.5
6909.5	185.5
6951.5	191.02380952380952
6993.5	170.5
7035.5	154.02380952380952
7077.5	169.0
7119.5	189.85714285714286
7161.5	198.0
7203.5	198.0
7245.5	198.0
7287.5	198.0
7329.5	192.28571428571428
7371.5	183.0
7413.5	184.52380952380952
7455.5	196.83333333333334
7497.5	198.0
7539.5	189.07142857142858
7581.5	183.0
7623.5	186.71428571428572
7665.5	197.85714285714286
7707.5	198.0
7749.5	198.0
7791.5	198.0
7833.5	198.0
7875.5	198.0
7917.5	198.0
7959.5	198.0
8001.5	198.0
8043.5	198.0
8085.5	198.0
8127.5	198.0
8169.5	198.0
8211.5	198.0
8253.5	198.0
8295.5	198.0
8337.5	198.0
8379.5	198.0
8421.5	198.0
8463.5	198.0
8505.5	198.0
8547.5	195.85714285714286
8589.5	193.0
8631.5	193.38095238095238
8673.5	197.97619047619048
8715.5	198.0
8757.5	188.78571428571428
8799.5	184.0
8841.5	188.21428571428572
8883.5	198.0
8925.5	197.9047619047619
8967.5	190.16666666666666
9009.5	189.0
9051.5	193.71428571428572
9093.5	198.0
9135.5	198.0
9177.5	198.0
9219.5	198.0
9261.5	198.0
9303.5	198.0
9345.5	198.0
9387.5	198.0
9429.5	198.0
9471.5	198.0
9513.5	198.0
9555.5	198.0
9597.5	198.0
9639.5	198.0
9681.5	198.0
9723.5	198.0
9765.5	198.0
9807.5	198.0
9849.5	198.0
9891.5	198.0
9933.5	198.0
9975.5	198.0
10017.5	198.0
10059.5	198.0
10101.5	198.0
10143.5	198.0
10185.5	198.0
10227.5	198.0
10269.5	198.0
10311.5	198.0
10353.5	198.0
10395.5	198.0
10437.5	198.0
10479.5	198.0
10521.5	198.0
10563.5	198.0
10605.5	198.0
10647.5	198.0
10689.5	198.0
10731.5	198.0
10773.5	198.0
10815.5	198.0
10857.5	198.0
10899.5	198.0
10941.5	198.0
10983.5	198.0
11025.5	198.0
11067.5	198.0
11109.5	198.0
11151.5	198.0
11193.5	198.0
11235.5	198.0
11277.5	198.0
11319.5	198.0
11361.5	198.0
11403.5	198.0
11445.5	198.0
11487.5	198.0
11529.5	198.0
11571.5	198.0
11613.5	198.0
11655.5	198.0
11697.5	198.0
11739.5	198.0
11781.5	198.0
11823.5	198.0
11865.5	198.0
11907.5	198.0
11949.5	198.0
11991.5	198.0
12033.5	198.0
12075.5	198.0
12117.5	198.0
12159.5	198.0
12201.5	198.0
12243.5	198.0
12285.5	198.0
12327.5	198.0
12369.5	198.0
12411.5	198.0
12453.5	198.0
12495.5	198.0
12537.5	198.0
12579.5	198.0
12621.5	198.0
12663.5	198.0
12705.5	198.0
12747.5	198.0
12789.5	198.0
12831.5	198.0
12873.5	198.0
12915.5	198.0
12957.5	198.0
12999.5	198.0
13041.5	198.0
13083.5	198.0
13125.5	198.0
13167.5	198.0
13209.5	198.0
13251.5	198.0
13293.5	198.0
13335.5	198.0
13377.5	198.0
13419.5	198.0
13461.5	198.0
13503.5	198.0
13545.5	198.0
13587.5	198.0
13629.5	198.0
13671.5	198.0
13713.5	198.0
13755.5	198.0
13797.5	198.0
13839.5	198.0
13881.5	198.0
13923.5	198.0
13965.5	198.0
14007.5	198.0
14049.5	198.0
14091.5	198.0
14133.5	198.0
14175.5	198.0
14217.5	198.0
14259.5	198.0
14301.5	198.0
14343.5	198.0
14385.5	198.0
14427.5	198.0
14469.5	198.0
14511.5	198.0
14553.5	198.0
14595.5	198.0
14637.5	198.0
14679.5	198.0
14721.5	198.0
14763.5	198.0
14805.5	198.0
14847.5	198.0
14889.5	198.0
14931.5	198.0
14973.5	198.0
15015.5	198.0
15057.5	198.0
15099.5	198.0
15141.5	198.0
15183.5	198.0
15225.5	198.0
15267.5	198.0
15309.5	198.0
15351.5	198.0
15393.5	198.0
15435.5	198.0
15477.5	198.0
15519.5	198.0
15561.5	198.0
15603.5	198.0
15645.5	198.0
15687.5	198.0
15729.5	198.0
15771.5	198.0
15813.5	198.0
15855.5	198.0
15897.5	198.0
15939.5	198.0
15981.5	198.0
16023.5	198.0
16065.5	198.0
16107.5	198.0
16149.5	198.0
16191.5	198.0
16233.5	198.0
16275.5	189.64285714285714
16317.5	150.5
16359.5	110.07142857142857
16401.5	99.0
16443.5	99.0
16485.5	84.0
16527.5	42.5
16559.0	11.0
