#chr	pos	coverage
chrM	1	1
chrM	2	2
chrM	3	3
chrM	4	4
chrM	5	5
chrM	6	6
chrM	7	7
chrM	8	8
chrM	9	9
chrM	10	10
chrM	11	11
chrM	12	12
chrM	13	13
chrM	14	14
chrM	15	15
chrM	16	16
chrM	17	17
chrM	18	18
chrM	19	19
chrM	20	20
chrM	21	21
chrM	22	22
chrM	23	23
chrM	24	24
chrM	25	25
chrM	26	26
chrM	27	27
chrM	28	28
chrM	29	29
chrM	30	30
chrM	31	31
chrM	32	32
chrM	33	33
chrM	34	34
chrM	35	35
chrM	36	36
chrM	37	37
chrM	38	38
chrM	39	39
chrM	40	40
chrM	41	41
chrM	42	42
chrM	43	43
chrM	44	44
chrM	45	45
chrM	46	46
chrM	47	47
chrM	48	48
chrM	49	49
chrM	50	50
chrM	51	51
chrM	52	52
chrM	53	53
chrM	54	54
chrM	55	55
chrM	56	56
chrM	57	57
chrM	58	58
chrM	59	59
chrM	60	60
chrM	61	61
chrM	62	62
chrM	63	63
chrM	64	64
chrM	65	65
chrM	66	66
chrM	67	67
chrM	68	68
chrM	69	69
chrM	70	70
chrM	71	71
chrM	72	72
chrM	73	73
chrM	74	74
chrM	75	75
chrM	76	76
chrM	77	77
chrM	78	78
chrM	79	79
chrM	80	80
chrM	81	81
chrM	82	82
chrM	83	83
chrM	84	84
chrM	85	85
chrM	86	86
chrM	87	87
chrM	88	88
chrM	89	89
chrM	90	90
chrM	91	91
chrM	92	92
chrM	93	93
chrM	94	94
chrM	95	95
chrM	96	96
chrM	97	97
chrM	98	98
chrM	99	99
chrM	100	99
chrM	101	99
chrM	102	99
chrM	103	99
chrM	104	99
chrM	105	99
chrM	106	99
chrM	107	99
chrM	108	99
chrM	109	99
chrM	110	99
chrM	111	99
chrM	112	99
chrM	113	99
chrM	114	99
chrM	115	99
chrM	116	99
chrM	117	99
chrM	118	99
chrM	119	99
chrM	120	99
chrM	121	99
chrM	122	99
chrM	123	99
chrM	124	99
chrM	125	99
chrM	126	99
chrM	127	99
chrM	128	99
chrM	129	99
chrM	130	99
chrM	131	99
chrM	132	99
chrM	133	99
chrM	134	99
chrM	135	99
chrM	136	99
chrM	137	99
chrM	138	99
chrM	139	99
chrM	140	99
chrM	141	99
chrM	142	99
chrM	143	99
chrM	144	99
chrM	145	99
chrM	146	99
chrM	147	99
chrM	148	99
chrM	149	99
chrM	150	99
chrM	151	99
chrM	152	99
chrM	153	99
chrM	154	99
chrM	155	99
chrM	156	99
chrM	157	99
chrM	158	99
chrM	159	99
chrM	160	99
chrM	161	99
chrM	162	99
chrM	163	99
chrM	164	99
chrM	165	99
chrM	166	99
chrM	167	99
chrM	168	99
chrM	169	99
chrM	170	99
chrM	171	99
chrM	172	99
chrM	173	99
chrM	174	99
chrM	175	99
chrM	176	99
chrM	177	99
chrM	178	99
chrM	179	99
chrM	180	99
chrM	181	99
chrM	182	99
chrM	183	99
chrM	184	99
chrM	185	99
chrM	186	99
chrM	187	99
chrM	188	99
chrM	189	99
chrM	190	99
chrM	191	99
chrM	192	99
chrM	193	99
chrM	194	99
chrM	195	99
chrM	196	99
chrM	197	99
chrM	198	99
chrM	199	99
chrM	200	99
chrM	201	99
chrM	202	99
chrM	203	99
chrM	204	99
chrM	205	99
chrM	206	99
chrM	207	99
chrM	208	99
chrM	209	99
chrM	210	99
chrM	211	99
chrM	212	99
chrM	213	99
chrM	214	99
chrM	215	99
chrM	216	99
chrM	217	99
chrM	218	99
chrM	219	99
chrM	220	99
chrM	221	99
chrM	222	99
chrM	223	99
chrM	224	99
chrM	225	99
chrM	226	99
chrM	227	99
chrM	228	99
chrM	229	99
chrM	230	99
chrM	231	99
chrM	232	99
chrM	233	99
chrM	234	99
chrM	235	99
chrM	236	99
chrM	237	99
chrM	238	99
chrM	239	99
chrM	240	99
chrM	241	99
chrM	242	99
chrM	243	99
chrM	244	99
chrM	245	99
chrM	246	99
chrM	247	99
chrM	248	99
chrM	249	99
chrM	250	99
chrM	251	99
chrM	252	99
chrM	253	99
chrM	254	99
chrM	255	99
chrM	256	99
chrM	257	99
chrM	258	99
chrM	259	99
chrM	260	99
chrM	261	99
chrM	262	99
chrM	263	99
chrM	264	99
chrM	265	99
chrM	266	99
chrM	267	99
chrM	268	99
chrM	269	99
chrM	270	99
chrM	271	99
chrM	272	99
chrM	273	99
chrM	274	99
chrM	275	99
chrM	276	99
chrM	277	99
chrM	278	99
chrM	279	99
chrM	280	99
chrM	281	99
chrM	282	99
chrM	283	99
chrM	284	99
chrM	285	99
chrM	286	99
chrM	287	99
chrM	288	99
chrM	289	99
chrM	290	99
chrM	291	99
chrM	292	99
chrM	293	99
chrM	294	99
chrM	295	99
chrM	296	99
chrM	297	99
chrM	298	99
chrM	299	99
chrM	300	99
chrM	301	99
chrM	302	99
chrM	303	99
chrM	304	99
chrM	305	99
chrM	306	99
chrM	307	99
chrM	308	99
chrM	309	99
chrM	310	99
chrM	311	99
chrM	312	99
chrM	313	99
chrM	314	99
chrM	315	99
chrM	316	99
chrM	317	99
chrM	318	99
chrM	319	99
chrM	320	99
chrM	321	99
chrM	322	99
chrM	323	99
chrM	324	99
chrM	325	99
chrM	326	99
chrM	327	99
chrM	328	99
chrM	329	99
chrM	330	99
chrM	331	99
chrM	332	99
chrM	333	99
chrM	334	99
chrM	335	99
chrM	336	99
chrM	337	99
chrM	338	99
chrM	339	99
chrM	340	99
chrM	341	99
chrM	342	99
chrM	343	99
chrM	344	99
chrM	345	99
chrM	346	99
chrM	347	99
chrM	348	99
chrM	349	99
chrM	350	99
chrM	351	99
chrM	352	99
chrM	353	99
chrM	354	99
chrM	355	99
chrM	356	99
chrM	357	99
chrM	358	99
chrM	359	99
chrM	360	99
chrM	361	99
chrM	362	99
chrM	363	99
chrM	364	99
chrM	365	99
chrM	366	99
chrM	367	99
chrM	368	99
chrM	369	99
chrM	370	99
chrM	371	99
chrM	372	99
chrM	373	99
chrM	374	99
chrM	375	99
chrM	376	99
chrM	377	99
chrM	378	99
chrM	379	99
chrM	380	99
chrM	381	99
chrM	382	99
chrM	383	99
chrM	384	99
chrM	385	99
