#Position (bp)	Coverage
21.5	21.5
63.5	63.5
105.5	97.14285714285714
147.5	100.0
189.5	100.0
231.5	100.0
273.5	100.0
315.5	100.0
357.5	100.0
399.5	100.0
441.5	100.0
483.5	100.0
525.5	100.0
567.5	100.0
609.5	100.0
651.5	100.0
693.5	100.0
735.5	100.0
777.5	100.0
819.5	100.0
861.5	100.0
903.5	100.0
945.5	100.0
987.5	100.0
1029.5	93.5
1071.5	73.02380952380952
1113.5	52.642857142857146
1155.5	42.214285714285715
1197.5	49.11904761904762
1239.5	73.66666666666667
1281.5	96.78571428571429
1323.5	100.0
1365.5	100.0
1407.5	97.23809523809524
1449.5	92.0
1491.5	92.21428571428571
1533.5	99.5
1575.5	100.0
1617.5	100.0
1659.5	100.0
1701.5	100.0
1743.5	100.0
1785.5	100.0
1827.5	100.0
1869.5	100.0
1911.5	100.0
1953.5	100.0
1995.5	100.0
2037.5	100.0
2079.5	100.0
2121.5	100.0
2163.5	100.0
2205.5	100.0
2247.5	100.0
2289.5	100.0
2331.5	100.0
2373.5	100.0
2415.5	100.0
2457.5	100.0
2499.5	100.0
2541.5	100.0
2583.5	100.0
2625.5	100.0
2667.5	100.0
2709.5	100.0
2751.5	100.0
2793.5	100.0
2835.5	100.0
2877.5	100.0
2919.5	100.0
2961.5	100.0
3003.5	100.0
3045.5	100.0
3087.5	100.0
3129.5	100.0
3171.5	100.0
3213.5	100.0
3255.5	100.0
3297.5	100.0
3339.5	100.0
3381.5	100.0
3423.5	100.0
3465.5	100.0
3507.5	100.0
3549.5	100.0
3591.5	100.0
3633.5	100.0
3675.5	100.0
3717.5	100.0
3759.5	100.0
3801.5	100.0
3843.5	100.0
3885.5	100.0
3927.5	92.78571428571429
3969.5	84.0
4011.5	86.54761904761905
4053.5	98.57142857142857
4095.5	98.97619047619048
4137.5	82.57142857142857
4179.5	62.07142857142857
4221.5	56.19047619047619
4263.5	76.02380952380952
4305.5	95.35714285714286
4347.5	87.35714285714286
4389.5	82.0
4431.5	88.11904761904762
4473.5	91.92857142857143
4515.5	72.02380952380952
4557.5	53.26190476190476
4599.5	48.523809523809526
4641.5	50.11904761904762
4683.5	69.69047619047619
4725.5	92.92857142857143
4767.5	100.0
4809.5	100.0
4851.5	100.0
4893.5	100.0
4935.5	100.0
4977.5	100.0
5019.5	100.0
5061.5	98.0952380952381
5103.5	98.0
5145.5	97.35714285714286
5187.5	82.80952380952381
5229.5	67.97619047619048
5271.5	77.0952380952381
5313.5	95.33333333333333
5355.5	100.0
5397.5	100.0
5439.5	100.0
5481.5	100.0
5523.5	100.0
5565.5	99.85714285714286
5607.5	87.69047619047619
5649.5	66.69047619047619
5691.5	51.714285714285715
5733.5	57.76190476190476
5775.5	78.0952380952381
5817.5	96.28571428571429
5859.5	89.16666666666667
5901.5	68.11904761904762
5943.5	60.976190476190474
5985.5	81.02380952380952
6027.5	93.45238095238095
6069.5	74.54761904761905
6111.5	53.11904761904762
6153.5	64.4047619047619
6195.5	86.71428571428571
6237.5	99.9047619047619
6279.5	100.0
6321.5	100.0
6363.5	100.0
6405.5	100.0
6447.5	100.0
6489.5	100.0
6531.5	100.0
6573.5	100.0
6615.5	100.0
6657.5	100.0
6699.5	95.26190476190476
6741.5	74.19047619047619
6783.5	54.095238095238095
6825.5	48.69047619047619
6867.5	67.26190476190476
6909.5	89.11904761904762
6951.5	92.76190476190476
6993.5	73.11904761904762
7035.5	53.666666666666664
7077.5	65.11904761904762
7119.5	86.85714285714286
7161.5	99.85714285714286
7203.5	100.0
7245.5	100.0
7287.5	100.0
7329.5	92.14285714285714
7371.5	70.52380952380952
7413.5	54.785714285714285
7455.5	70.4047619047619
7497.5	90.71428571428571
7539.5	91.92857142857143
7581.5	86.0
7623.5	88.95238095238095
7665.5	99.78571428571429
7707.5	99.04761904761905
7749.5	98.0
7791.5	98.19047619047619
7833.5	100.0
7875.5	100.0
7917.5	97.4047619047619
7959.5	95.0
8001.5	95.69047619047619
8043.5	100.0
8085.5	100.0
8127.5	100.0
8169.5	100.0
8211.5	94.85714285714286
8253.5	75.14285714285714
8295.5	58.11904761904762
8337.5	71.23809523809524
8379.5	93.5
8421.5	100.0
8463.5	100.0
8505.5	100.0
8547.5	98.33333333333333
8589.5	96.0
8631.5	96.19047619047619
8673.5	99.95238095238095
8715.5	98.02380952380952
8757.5	81.95238095238095
8799.5	79.02380952380952
8841.5	91.0
8883.5	100.0
8925.5	99.92857142857143
8967.5	92.97619047619048
9009.5	92.0
9051.5	96.04761904761905
9093.5	100.0
9135.5	100.0
9177.5	100.0
9219.5	100.0
9261.5	100.0
9303.5	100.0
9345.5	99.14285714285714
9387.5	99.0
9429.5	99.47619047619048
9471.5	100.0
9513.5	100.0
9555.5	100.0
9597.5	100.0
9639.5	94.83333333333333
9681.5	88.0
9723.5	89.16666666666667
9765.5	99.42857142857143
9807.5	100.0
9849.5	100.0
9891.5	100.0
9933.5	100.0
9975.5	100.0
10017.5	100.0
10059.5	100.0
10101.5	100.0
10143.5	100.0
10185.5	100.0
10227.5	100.0
10269.5	100.0
10311.5	100.0
10353.5	100.0
10395.5	100.0
10437.5	100.0
10479.5	100.0
10521.5	100.0
10563.5	100.0
10605.5	100.0
10647.5	100.0
10689.5	100.0
10731.5	100.0
10773.5	100.0
10815.5	100.0
10857.5	100.0
10899.5	100.0
10941.5	100.0
10983.5	100.0
11025.5	100.0
11067.5	100.0
11109.5	100.0
11151.5	100.0
11193.5	100.0
11235.5	100.0
11277.5	100.0
11319.5	100.0
11361.5	100.0
11403.5	100.0
11445.5	100.0
11487.5	100.0
11529.5	100.0
11571.5	100.0
11613.5	100.0
11655.5	100.0
11697.5	100.0
11739.5	100.0
11781.5	100.0
11823.5	100.0
11865.5	100.0
11907.5	100.0
11949.5	100.0
11991.5	100.0
12033.5	100.0
12075.5	100.0
12117.5	100.0
12159.5	100.0
12201.5	100.0
12243.5	100.0
12285.5	100.0
12327.5	100.0
12369.5	100.0
12411.5	100.0
12453.5	100.0
12495.5	100.0
12537.5	100.0
12579.5	100.0
12621.5	100.0
12663.5	100.0
12705.5	100.0
12747.5	100.0
12789.5	100.0
12831.5	100.0
12873.5	100.0
12915.5	100.0
12957.5	100.0
12999.5	100.0
13041.5	100.0
13083.5	100.0
13125.5	100.0
13167.5	100.0
13209.5	100.0
13251.5	100.0
13293.5	100.0
13335.5	100.0
13377.5	100.0
13419.5	100.0
13461.5	100.0
13503.5	100.0
13545.5	100.0
13587.5	100.0
13629.5	100.0
13671.5	100.0
13713.5	100.0
13755.5	100.0
13797.5	100.0
13839.5	100.0
13881.5	100.0
13923.5	100.0
13965.5	100.0
14007.5	100.0
14049.5	100.0
14091.5	100.0
14133.5	100.0
14175.5	100.0
14217.5	100.0
14259.5	100.0
14301.5	100.0
14343.5	100.0
14385.5	100.0
14427.5	100.0
14469.5	100.0
14511.5	100.0
14553.5	100.0
14595.5	100.0
14637.5	100.0
14679.5	100.0
14721.5	100.0
14763.5	100.0
14805.5	100.0
14847.5	100.0
14889.5	100.0
14931.5	100.0
14973.5	100.0
15015.5	100.0
15057.5	100.0
15099.5	100.0
15141.5	100.0
15183.5	100.0
15225.5	100.0
15267.5	100.0
15309.5	100.0
15351.5	100.0
15393.5	100.0
15435.5	100.0
15477.5	100.0
15519.5	100.0
15561.5	100.0
15603.5	100.0
15645.5	100.0
15687.5	100.0
15729.5	100.0
15771.5	100.0
15813.5	100.0
15855.5	100.0
15897.5	100.0
15939.5	100.0
15981.5	100.0
16023.5	100.0
16065.5	100.0
16107.5	100.0
16149.5	100.0
16191.5	100.0
16233.5	100.0
16275.5	100.0
16317.5	100.0
16359.5	100.0
16401.5	100.0
16443.5	100.0
16485.5	84.14285714285714
16527.5	42.5
16559.0	11.0
