#chr	pos	coverage
chrM	1	1
chrM	2	2
chrM	3	3
chrM	4	4
chrM	5	5
chrM	6	6
chrM	7	7
chrM	8	8
chrM	9	9
chrM	10	10
chrM	11	11
chrM	12	12
chrM	13	13
chrM	14	14
chrM	15	15
chrM	16	16
chrM	17	17
chrM	18	18
chrM	19	19
chrM	20	20
chrM	21	21
chrM	22	22
chrM	23	23
chrM	24	24
chrM	25	25
chrM	26	26
chrM	27	27
chrM	28	28
chrM	29	29
chrM	30	30
chrM	31	31
chrM	32	32
chrM	33	33
chrM	34	34
chrM	35	35
chrM	36	36
chrM	37	37
chrM	38	38
chrM	39	39
chrM	40	40
chrM	41	41
chrM	42	42
chrM	43	43
chrM	44	44
chrM	45	45
chrM	46	46
chrM	47	47
chrM	48	48
chrM	49	49
chrM	50	50
chrM	51	51
chrM	52	52
chrM	53	53
chrM	54	54
chrM	55	55
chrM	56	56
chrM	57	57
chrM	58	58
chrM	59	59
chrM	60	60
chrM	61	61
chrM	62	62
chrM	63	63
chrM	64	64
chrM	65	65
chrM	66	66
chrM	67	67
chrM	68	68
chrM	69	69
chrM	70	70
chrM	71	71
chrM	72	72
chrM	73	73
chrM	74	74
chrM	75	75
chrM	76	76
chrM	77	77
chrM	78	78
chrM	79	79
chrM	80	80
chrM	81	81
chrM	82	82
chrM	83	83
chrM	84	84
chrM	85	85
chrM	86	86
chrM	87	87
chrM	88	88
chrM	89	89
chrM	90	90
chrM	91	91
chrM	92	92
chrM	93	93
chrM	94	94
chrM	95	95
chrM	96	96
chrM	97	97
chrM	98	98
chrM	99	99
chrM	100	100
chrM	101	101
chrM	102	102
chrM	103	103
chrM	104	104
chrM	105	105
chrM	106	106
chrM	107	107
chrM	108	108
chrM	109	109
chrM	110	110
chrM	111	111
chrM	112	112
chrM	113	113
chrM	114	114
chrM	115	115
chrM	116	116
chrM	117	117
chrM	118	118
chrM	119	119
chrM	120	120
chrM	121	121
chrM	122	122
chrM	123	123
chrM	124	124
chrM	125	125
chrM	126	126
chrM	127	127
chrM	128	128
chrM	129	129
chrM	130	130
chrM	131	131
chrM	132	132
chrM	133	133
chrM	134	134
chrM	135	135
chrM	136	136
chrM	137	137
chrM	138	138
chrM	139	139
chrM	140	140
chrM	141	141
chrM	142	142
chrM	143	143
chrM	144	144
chrM	145	145
chrM	146	146
chrM	147	147
chrM	148	148
chrM	149	149
chrM	150	150
chrM	151	150
chrM	152	150
chrM	153	150
chrM	154	150
chrM	155	150
chrM	156	150
chrM	157	150
chrM	158	150
chrM	159	150
chrM	160	150
chrM	161	150
chrM	162	150
chrM	163	150
chrM	164	150
chrM	165	150
chrM	166	150
chrM	167	150
chrM	168	150
chrM	169	150
chrM	170	150
chrM	171	150
chrM	172	150
chrM	173	150
chrM	174	150
chrM	175	150
chrM	176	150
chrM	177	150
chrM	178	150
chrM	179	150
chrM	180	150
chrM	181	150
chrM	182	150
chrM	183	150
chrM	184	150
chrM	185	150
chrM	186	150
chrM	187	150
chrM	188	150
chrM	189	150
chrM	190	150
chrM	191	150
chrM	192	150
chrM	193	150
chrM	194	150
chrM	195	150
chrM	196	150
chrM	197	150
chrM	198	150
chrM	199	150
chrM	200	150
chrM	201	150
chrM	202	150
chrM	203	150
chrM	204	150
chrM	205	150
chrM	206	150
chrM	207	150
chrM	208	150
chrM	209	150
chrM	210	150
chrM	211	150
chrM	212	150
chrM	213	150
chrM	214	150
chrM	215	150
chrM	216	150
chrM	217	150
chrM	218	150
chrM	219	150
chrM	220	150
chrM	221	150
chrM	222	150
chrM	223	150
chrM	224	150
chrM	225	150
chrM	226	150
chrM	227	150
chrM	228	150
chrM	229	150
chrM	230	150
chrM	231	150
chrM	232	150
chrM	233	150
chrM	234	150
chrM	235	150
chrM	236	150
chrM	237	150
chrM	238	150
chrM	239	150
chrM	240	150
chrM	241	150
chrM	242	150
chrM	243	150
chrM	244	150
chrM	245	150
chrM	246	150
chrM	247	150
chrM	248	150
chrM	249	150
chrM	250	150
chrM	251	150
chrM	252	150
chrM	253	150
chrM	254	150
chrM	255	150
chrM	256	150
chrM	257	150
chrM	258	150
chrM	259	150
chrM	260	150
chrM	261	150
chrM	262	150
chrM	263	150
chrM	264	150
chrM	265	150
chrM	266	150
chrM	267	150
chrM	268	150
chrM	269	150
chrM	270	150
chrM	271	150
chrM	272	150
chrM	273	150
chrM	274	150
chrM	275	150
chrM	276	150
chrM	277	150
chrM	278	150
chrM	279	150
chrM	280	150
chrM	281	150
chrM	282	150
chrM	283	150
chrM	284	150
chrM	285	150
chrM	286	150
chrM	287	150
chrM	288	150
chrM	289	150
chrM	290	150
chrM	291	150
chrM	292	150
chrM	293	150
chrM	294	150
chrM	295	150
chrM	296	150
chrM	297	150
chrM	298	150
chrM	299	150
chrM	300	150
chrM	301	150
chrM	302	150
chrM	303	150
chrM	304	150
chrM	305	150
chrM	306	150
chrM	307	150
chrM	308	150
chrM	309	150
chrM	310	150
chrM	311	150
chrM	312	150
chrM	313	150
chrM	314	150
chrM	315	150
chrM	316	150
chrM	317	150
chrM	318	150
chrM	319	150
chrM	320	150
chrM	321	150
chrM	322	150
chrM	323	150
chrM	324	150
chrM	325	150
chrM	326	150
chrM	327	150
chrM	328	150
chrM	329	150
chrM	330	150
chrM	331	150
chrM	332	150
chrM	333	150
chrM	334	150
chrM	335	150
chrM	336	150
chrM	337	150
chrM	338	150
chrM	339	150
chrM	340	150
chrM	341	150
chrM	342	150
chrM	343	150
chrM	344	150
chrM	345	150
chrM	346	150
chrM	347	150
chrM	348	150
chrM	349	150
chrM	350	150
chrM	351	150
chrM	352	150
chrM	353	150
chrM	354	150
chrM	355	150
chrM	356	150
chrM	357	150
chrM	358	150
chrM	359	150
chrM	360	150
chrM	361	150
chrM	362	150
chrM	363	150
chrM	364	150
chrM	365	150
chrM	366	150
chrM	367	150
chrM	368	150
chrM	369	150
chrM	370	150
chrM	371	150
chrM	372	150
chrM	373	150
chrM	374	150
chrM	375	150
chrM	376	150
chrM	377	150
chrM	378	150
chrM	379	150
chrM	380	150
chrM	381	150
chrM	382	150
chrM	383	150
chrM	384	150
chrM	385	150
