#chr	pos	coverage
chrM	1	1
chrM	2	2
chrM	3	3
chrM	4	4
chrM	5	5
chrM	6	6
chrM	7	7
chrM	8	8
chrM	9	9
chrM	10	10
chrM	11	11
chrM	12	12
chrM	13	13
chrM	14	14
chrM	15	15
chrM	16	16
chrM	17	17
chrM	18	18
chrM	19	19
chrM	20	20
chrM	21	21
chrM	22	22
chrM	23	23
chrM	24	24
chrM	25	25
chrM	26	26
chrM	27	27
chrM	28	28
chrM	29	29
chrM	30	30
chrM	31	31
chrM	32	32
chrM	33	33
chrM	34	34
chrM	35	35
chrM	36	36
chrM	37	37
chrM	38	38
chrM	39	39
chrM	40	40
chrM	41	41
chrM	42	42
chrM	43	43
chrM	44	44
chrM	45	45
chrM	46	46
chrM	47	47
chrM	48	48
chrM	49	49
chrM	50	50
chrM	51	51
chrM	52	52
chrM	53	53
chrM	54	54
chrM	55	55
chrM	56	56
chrM	57	57
chrM	58	58
chrM	59	59
chrM	60	60
chrM	61	61
chrM	62	62
chrM	63	63
chrM	64	64
chrM	65	65
chrM	66	66
chrM	67	67
chrM	68	68
chrM	69	69
chrM	70	70
chrM	71	71
chrM	72	72
chrM	73	73
chrM	74	74
chrM	75	75
chrM	76	76
chrM	77	77
chrM	78	78
chrM	79	79
chrM	80	80
chrM	81	81
chrM	82	82
chrM	83	83
chrM	84	84
chrM	85	85
chrM	86	86
chrM	87	87
chrM	88	88
chrM	89	89
chrM	90	90
chrM	91	91
chrM	92	92
chrM	93	93
chrM	94	94
chrM	95	95
chrM	96	96
chrM	97	97
chrM	98	98
chrM	99	99
chrM	100	100
chrM	101	101
chrM	102	102
chrM	103	103
chrM	104	104
chrM	105	105
chrM	106	106
chrM	107	107
chrM	108	108
chrM	109	109
chrM	110	110
chrM	111	111
chrM	112	112
chrM	113	113
chrM	114	114
chrM	115	115
chrM	116	116
chrM	117	117
chrM	118	118
chrM	119	119
chrM	120	120
chrM	121	121
chrM	122	122
chrM	123	123
chrM	124	124
chrM	125	125
chrM	126	126
chrM	127	127
chrM	128	128
chrM	129	129
chrM	130	130
chrM	131	131
chrM	132	132
chrM	133	133
chrM	134	134
chrM	135	135
chrM	136	136
chrM	137	137
chrM	138	138
chrM	139	139
chrM	140	140
chrM	141	141
chrM	142	142
chrM	143	143
chrM	144	144
chrM	145	145
chrM	146	146
chrM	147	147
chrM	148	148
chrM	149	149
chrM	150	150
chrM	151	151
chrM	152	152
chrM	153	153
chrM	154	154
chrM	155	155
chrM	156	156
chrM	157	157
chrM	158	158
chrM	159	159
chrM	160	160
chrM	161	161
chrM	162	162
chrM	163	163
chrM	164	164
chrM	165	165
chrM	166	166
chrM	167	167
chrM	168	168
chrM	169	169
chrM	170	170
chrM	171	171
chrM	172	172
chrM	173	173
chrM	174	174
chrM	175	175
chrM	176	176
chrM	177	177
chrM	178	178
chrM	179	179
chrM	180	180
chrM	181	181
chrM	182	182
chrM	183	183
chrM	184	184
chrM	185	185
chrM	186	186
chrM	187	187
chrM	188	188
chrM	189	189
chrM	190	190
chrM	191	191
chrM	192	192
chrM	193	193
chrM	194	194
chrM	195	195
chrM	196	196
chrM	197	197
chrM	198	198
chrM	199	199
chrM	200	200
chrM	201	201
chrM	202	202
chrM	203	203
chrM	204	204
chrM	205	205
chrM	206	206
chrM	207	207
chrM	208	208
chrM	209	209
chrM	210	210
chrM	211	211
chrM	212	212
chrM	213	213
chrM	214	214
chrM	215	215
chrM	216	216
chrM	217	217
chrM	218	218
chrM	219	219
chrM	220	220
chrM	221	221
chrM	222	222
chrM	223	223
chrM	224	224
chrM	225	225
chrM	226	226
chrM	227	227
chrM	228	228
chrM	229	229
chrM	230	230
chrM	231	231
chrM	232	232
chrM	233	233
chrM	234	234
chrM	235	235
chrM	236	236
chrM	237	237
chrM	238	238
chrM	239	239
chrM	240	240
chrM	241	241
chrM	242	242
chrM	243	243
chrM	244	244
chrM	245	245
chrM	246	246
chrM	247	247
chrM	248	248
chrM	249	249
chrM	250	250
chrM	251	251
chrM	252	252
chrM	253	253
chrM	254	254
chrM	255	255
chrM	256	256
chrM	257	257
chrM	258	258
chrM	259	259
chrM	260	260
chrM	261	261
chrM	262	262
chrM	263	263
chrM	264	264
chrM	265	265
chrM	266	266
chrM	267	267
chrM	268	268
chrM	269	269
chrM	270	270
chrM	271	271
chrM	272	272
chrM	273	273
chrM	274	274
chrM	275	275
chrM	276	276
chrM	277	277
chrM	278	278
chrM	279	279
chrM	280	280
chrM	281	281
chrM	282	282
chrM	283	283
chrM	284	284
chrM	285	285
chrM	286	286
chrM	287	287
chrM	288	288
chrM	289	289
chrM	290	290
chrM	291	291
chrM	292	292
chrM	293	293
chrM	294	294
chrM	295	295
chrM	296	296
chrM	297	297
chrM	298	298
chrM	299	299
chrM	300	300
chrM	301	301
chrM	302	302
chrM	303	303
chrM	304	304
chrM	305	305
chrM	306	306
chrM	307	307
chrM	308	308
chrM	309	309
chrM	310	310
chrM	311	311
chrM	312	312
chrM	313	313
chrM	314	314
chrM	315	315
chrM	316	316
chrM	317	317
chrM	318	318
chrM	319	319
chrM	320	320
chrM	321	321
chrM	322	322
chrM	323	323
chrM	324	324
chrM	325	325
chrM	326	326
chrM	327	327
chrM	328	328
chrM	329	329
chrM	330	330
chrM	331	331
chrM	332	332
chrM	333	333
chrM	334	334
chrM	335	335
chrM	336	336
chrM	337	337
chrM	338	338
chrM	339	339
chrM	340	340
chrM	341	341
chrM	342	342
chrM	343	343
chrM	344	344
chrM	345	345
chrM	346	346
chrM	347	347
chrM	348	348
chrM	349	349
chrM	350	350
chrM	351	351
chrM	352	352
chrM	353	353
chrM	354	354
chrM	355	355
chrM	356	356
chrM	357	357
chrM	358	358
chrM	359	359
chrM	360	360
chrM	361	361
chrM	362	362
chrM	363	363
chrM	364	364
chrM	365	365
chrM	366	366
chrM	367	367
chrM	368	368
chrM	369	369
chrM	370	370
chrM	371	371
chrM	372	372
chrM	373	373
chrM	374	374
chrM	375	375
chrM	376	376
chrM	377	377
chrM	378	378
chrM	379	379
chrM	380	380
chrM	381	381
chrM	382	382
chrM	383	383
chrM	384	384
chrM	385	385
